rank,code,name,market,close,trend_score,trigger_score,liq_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,vol_score,momentum_score,news_score,news_summary,keywords,news_count,scan_date,chunk
1,368770,파이버프로,KOSDAQ,13000.0,50.0,0.0,20.0,70.0,12200.0,6.153846153846154,98.31932773109244,62.68936291680383,-,12245.0,8983.8,0.0,0,0,,"뛰어난, 최대, 하이퍼폴링과 커세어마크맨, 내구성과, 초경량, 지닌 고성능",10,2026-01-18 00:09,2
2,049070,인탑스,KOSDAQ,19960.0,50.0,0.0,20.0,70.0,17120.0,14.228456913827655,100.0,51.30701965668921,-,18182.5,16183.6,0.0,0,0,,"인탑스, 액셀러레이팅, 4기, 프로그램 4기, 액셀러레이팅 프로그램, 프로그램",10,2026-01-18 00:10,2
3,270660,에브리봇,KOSDAQ,23000.0,50.0,0.0,20.0,70.0,20500.0,10.869565217391305,60.50420168067227,40.97188680031388,-,21255.0,20053.2,0.0,0,0,,"에브리고, 전동스쿠터, 모빌리티, 에브리봇모빌리티, s300과, 퍼스널",10,2026-01-18 00:11,2
4,274090,켄코아에어로스페이스,KOSDAQ,19780.0,50.0,0.0,20.0,70.0,18130.0,8.341759352881699,100.0,79.2408281049293,-,18178.5,13500.4,0.0,0,0,,"켄코아에어로스페이스, 네이버페이, 20, 19, 1월, 방산",10,2026-01-18 00:12,2
5,024060,흥구석유,KOSDAQ,13430.0,50.0,0.0,20.0,70.0,11830.0,11.913626209977663,67.22689075630252,50.96119584565876,-,12495.0,12282.8,0.0,0,0,,"14, 흥구석유, 14일, 오른, 흥구석유의, 상승",10,2026-01-18 00:14,2
6,033530,SJG세종,KOSPI,10140.0,43.0,5.0,20.0,68.0,9160.0,9.664694280078894,23.529411764705884,28.6342531709983,-,10047.0,9344.8,5.0,0,0,,"로봇, sjg세종, 관련주, 아진엑스텍, 뉴로메카, 반면",10,2026-01-18 00:11,2
7,054450,텔레칩스,KOSDAQ,14900.0,48.0,0.0,20.0,68.0,14500.0,2.684563758389262,100.0,54.51445716302146,-,14790.0,13376.0,0.0,0,0,,"텔레칩스, 반도체, 관련주, 앤씨앤, 글로벌, 아우토크립트",10,2026-01-18 00:13,2
8,211270,AP위성,KOSDAQ,14570.0,48.0,0.0,20.0,68.0,13190.0,9.471516815374056,100.0,65.00563865266948,-,13497.0,12208.4,0.0,0,0,,"이란, 위성, ap, 덴마크, 시위, 인터넷",10,2026-01-18 00:13,2
9,200710,에이디테크놀로지,KOSDAQ,32200.0,47.0,0.0,20.0,67.0,30250.0,6.055900621118012,76.47058823529412,37.92687221566455,-,31065.0,27824.0,0.0,0,0,,"강세로, 외국인, 에이디테크놀로지, 보안, 삼성, 시스템반도체",10,2026-01-18 00:09,2
10,094820,일진파워,KOSDAQ,13900.0,47.0,0.0,20.0,67.0,11920.0,14.244604316546763,96.63865546218487,31.065687187965118,-,12885.0,11659.8,0.0,0,0,,"보성파워텍, 있다, 일진파워, 관련주, 대우건설, 상승했다",10,2026-01-18 00:14,2
11,039440,에스티아이,KOSDAQ,30050.0,37.0,0.0,18.0,55.0,29400.0,2.1630615640599005,94.11764705882354,35.246223740608784,-,31167.5,27803.0,0.0,0,0,,"에스티아이, 장비, 반도체, 3d, 로보스타, 산업용",10,2026-01-18 00:08,2
12,394800,쓰리빌리언,KOSDAQ,15660.0,33.0,0.0,18.0,51.0,14530.0,7.215836526181353,79.83193277310924,26.101290257972785,-,16816.5,14523.2,0.0,0,0,,"쓰리빌리언, ai, 엔젠바이오, 제이에스링크, 루닛, 셀루메드",10,2026-01-18 00:08,2
13,092200,디아이씨,KOSPI,11980.0,30.0,0.0,20.0,50.0,11320.0,5.509181969949917,80.67226890756302,23.54683012168002,-,12650.5,10187.6,0.0,0,0,,"디아이씨, 실적, 각각각, 관련주, 디아이씨와, 대비 각각각",10,2026-01-18 00:08,2
14,000650,천일고속,KOSPI,287000.0,25.0,0.0,20.0,45.0,248000.0,13.588850174216027,73.10924369747899,11.532659056988235,-,325475.0,248937.0,0.0,0,0,,"천일고속, 15일, 상승, 12, 대비, 500원",10,2026-01-18 00:09,2
