rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,071320,지역난방공사,KOSPI,1281766960800,기타,110700.0,101844.0,21.0,25.0,16.0,11,9.0,82.0,8.0,0.0,33.325100236873695,B,99805.0,104450.0,114183.18352378506,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -1}",5,2648075000.0,-1800476400.0,2026-01-20 17:03,1,,0
2,185750,종근당,KOSPI,1177377134000,기타,85300.0,81400.0,22.0,23.0,16.0,11,10.0,82.0,4.572098475967175,11.764705882352942,49.21307028297433,C,83720.0,85158.0,88603.11542362583,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_c"": 3, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",5,1944351300.0,-1855439000.0,2026-01-20 17:03,1,,0
3,388720,유일로보틱스,KOSDAQ,1127571038000,기타,96400.0,88688.0,24.0,15.0,20.0,12,9.0,80.0,8.0,70.58823529411765,37.37716223350249,B,85160.0,83942.0,96520.95343095671,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -1}",3,26105951700.0,8403768500.0,2026-01-20 17:03,1,,0
4,160190,하이젠알앤엠,KOSDAQ,2010808800000,기타,65100.0,59892.0,22.0,15.0,20.0,12,9.0,78.0,8.0,36.134453781512605,21.833705819536117,B,58370.0,56166.0,67118.79504043129,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -1}",3,10076434800.0,18655234400.0,2026-01-20 17:03,1,,0
5,090360,로보스타,KOSDAQ,863850000000,기타,88600.0,81512.0,22.0,15.0,20.0,12,9.0,78.0,8.0,34.45378151260504,20.900955941789412,B,77670.0,75094.0,91846.09252704322,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -1}",3,27431164200.0,8305194300.0,2026-01-20 17:03,1,,0
6,103590,일진전기,KOSPI,2989873953000,기타,62700.0,59300.0,25.0,20.0,17.0,6,9.0,77.0,5.422647527910686,19.327731092436974,40.12512397351684,R,59295.0,57516.0,65504.81837179212,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 5, ""risk_deduction"": -1}",2,-3082936400.0,1971909400.0,2026-01-20 17:03,1,,0
7,033100,제룡전기,KOSDAQ,658558769000,기타,41000.0,36150.0,24.0,25.0,18.0,4,5.0,76.0,11.829268292682926,9.243697478991596,30.80402100373317,B,37447.5,36341.0,40298.41335057817,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -5}",0,-2727125950.0,775853900.0,2026-01-20 17:03,1,,0
8,001800,오리온홀딩스,KOSPI,1321818404200,기타,21100.0,19220.0,25.0,20.0,13.0,11,7.0,76.0,8.909952606635072,10.084033613445378,48.76953139940385,R,20309.5,20247.2,21458.35129894547,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",5,1964458580.0,-1044611170.0,2026-01-20 17:03,1,,0
9,055550,신한지주,KOSPI,39762035094600,기타,81900.0,75348.0,22.0,25.0,13.0,6,9.0,75.0,8.0,0.0,20.703127162144117,B,78450.0,78260.0,81670.2322679275,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -1}",1,-15373238900.0,48872372500.0,2026-01-20 17:03,1,,0
10,001440,대한전선,KOSPI,5211202035000,기타,27950.0,25714.0,25.0,15.0,20.0,6,9.0,75.0,8.0,38.65546218487395,48.2707022510991,B,24920.0,23999.0,27747.80246329359,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -1}",1,-42748026300.0,293010450.0,2026-01-20 17:03,1,,0
