rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,base_stop,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,118990,모트렉스,KOSDAQ,253592298000,차량용 인포테인먼트,10200.0,9570.0,23.0,10.0,20.0,15,10.0,78.0,1.6039481801357187,100.0,53.27963283642891,-,9726.0,8769.6,10400.548599675683,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_safe"": 10}",9570.0,pullback,눌림목,9726.0,9570.0,1.6039481801357187,breakout,돌파,10400.548599675683,9357.298599675683,10.030720879786392,oneil,오닐,10200.0,9846.0,3.4705882352941178,5,1969419610.0,5635000.0,2026-01-22 17:04,2,,0
2,031430,신세계인터내셔날,KOSPI,396195030000,"섬유, 의복, 신발 및 가죽제품 소매",11210.0,10866.0,24.0,13.0,20.0,7,10.0,74.0,3.0686886708296166,28.571428571428573,35.01670853464572,C,10858.0,10779.0,11680.144635779607,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_c"": 3, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_safe"": 10}",10380.0,oneil,Pocket Pivot,11210.0,10866.0,3.0686886708296166,pullback,눌림목,10858.0,10445.2,3.801805120648363,breakout,돌파,11680.144635779607,11164.144635779607,4.417753513251413,0,58254340.0,87390880.0,2026-01-22 17:04,2,,0
3,104830,원익머트리얼즈,KOSDAQ,465235200000,"저메인가스,디실란,아산화질소,암모니아 등",36900.0,35242.5,25.0,15.0,16.0,8,10.0,74.0,4.491869918699187,41.1764705882353,51.75581872289081,B,33075.0,32075.0,35520.287911384636,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",25600.0,oneil,Pocket Pivot,36900.0,35242.5,4.491869918699187,breakout,돌파,37638.0,35151.75,6.605691056910569,pullback,눌림목,33075.0,31086.0,6.01360544217687,3,2674880000.0,-2874135800.0,2026-01-22 17:04,2,,0
4,114190,강원에너지,KOSDAQ,460810390320,플랜트설비(산업용 보일러),17640.0,16688.5,21.0,20.0,20.0,3,9.0,73.0,5.3939909297052155,18.48739495798319,33.069736412924506,R,13763.5,14872.0,18374.161240061192,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -1}",13750.0,oneil,Pocket Pivot,17640.0,16688.5,5.3939909297052155,breakout,돌파,18374.161240061192,16946.911240061192,7.767701509488043,pullback,눌림목,13763.5,13750.0,0.09808551603879827,0,742547920.0,-9996080.0,2026-01-22 17:04,2,,0
5,053610,프로텍,KOSDAQ,410300000000,"Dispenser, Tray Feeder, 공압실린더",37300.0,36015.0,24.0,10.0,20.0,9,10.0,73.0,3.4450402144772116,31.092436974789916,30.70087720359056,-,35442.5,34579.0,37675.03401149053,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_safe"": 10}",32150.0,oneil,Pocket Pivot,37300.0,36015.0,3.4450402144772116,breakout,돌파,37675.03401149053,35357.53401149053,6.151288408374588,pullback,눌림목,35442.5,33588.5,5.231007970656697,1,201135500.0,38622900.0,2026-01-22 17:04,2,,0
6,035510,신세계 I&C,KOSPI,238374345000,"IT시스템 개발, 운영 및 유지보수, IT 컨설팅, IT장비솔루션 총판, 아웃소싱, IDC, IT기기 및 휴대폰 유통, 전자상품권",17050.0,15659.8,21.0,20.0,17.0,3,10.0,71.0,4.341345713325804,0.8403361344537815,30.770104895491553,R,16370.5,16638.2,17798.337495830874,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 5, ""risk_safe"": 10}",13850.0,pullback,눌림목,16370.5,15659.8,4.341345713325804,breakout,돌파,17798.337495830874,16909.962495830874,4.991336972950958,oneil,오닐,17050.0,16457.75,3.473607038123167,0,1726181240.0,-226655030.0,2026-01-22 17:04,2,,0
7,064290,인텍플러스,KOSDAQ,211097616420,"LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등",16410.0,15500.5,25.0,15.0,13.0,9,9.0,71.0,5.542352224253504,19.327731092436974,45.79751098418376,B,13940.0,13392.6,15426.143298529221,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_deduction"": -1}",11460.0,oneil,Pocket Pivot,16410.0,15500.5,5.542352224253504,breakout,돌파,16738.2,15373.95,8.150517976843389,pullback,눌림목,13940.0,12848.6,7.829268292682924,1,448728570.0,947489990.0,2026-01-22 17:04,2,,0
8,006110,삼아알미늄,KOSPI,381038624400,"알루미늄박지,은박지,은박가공품,알페이스트 제조,도매,수출",25900.0,24640.0,17.0,20.0,20.0,3,10.0,70.0,4.864864864864865,0.0,15.11208642881194,R,23995.0,24303.0,26709.97471251132,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_safe"": 10}",23700.0,oneil,Pocket Pivot,25900.0,24640.0,4.864864864864865,breakout,돌파,26709.97471251132,24819.97471251132,7.076008196723219,pullback,눌림목,23995.0,23700.0,1.22942279641592,0,735181100.0,-58244650.0,2026-01-22 17:04,2,,0
9,014830,유니드,KOSPI,502155920000,"탄산칼륨,가성칼륨,가성카리,탄산카리(무기화합물),MDF(가공목재) 제조,도매",74200.0,72220.0,17.0,24.0,11.0,7,10.0,69.0,2.6684636118598384,0.8403361344537815,35.043734603035595,A,68885.0,67654.0,72061.7561407653,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",64600.0,oneil,Pocket Pivot,74200.0,72220.0,2.6684636118598384,breakout,돌파,75684.0,72714.0,3.924211193911527,pullback,눌림목,68885.0,66509.0,3.4492269724903823,0,290466100.0,1672635300.0,2026-01-22 17:04,2,,0
10,092870,엑시콘,KOSDAQ,239351616980,반도체 검사장비,18340.0,17321.0,24.0,5.0,18.0,12,9.0,68.0,5.556161395856052,50.42016806722689,39.513326291604606,B,16156.0,15526.6,17319.3205408244,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -1}",14180.0,oneil,Pocket Pivot,18340.0,17321.0,5.556161395856052,pullback,눌림목,16156.0,14933.2,7.568705125030943,breakout,돌파,18706.8,17178.3,8.170825582141255,3,3015421090.0,492376870.0,2026-01-22 17:05,2,,0
