rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,092730,네오팜,KOSDAQ,323765377800,생체기능성(아토피)보습제,20200.0,18584.0,21.0,20.0,18.0,8,7.0,74.0,8.0,0.0,35.87514774708431,R,18106.0,18785.8,20457.30787403007,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,20200.0,19476.0,3.584158415841584,breakout,Squeeze돌파,20457.30787403007,19371.30787403007,5.3086163960930755,pullback,눌림목,18106.0,17200.7,4.9999999999999964,3,4803719220.0,-1870744020.0,2026-02-02 19:20,2,,0
2,099190,아이센스,KOSDAQ,473752010160,"혈당측정스트립, 혈당측정기기 등",17160.0,15510.0,19.0,25.0,16.0,11,3.0,74.0,9.615384615384617,11.764705882352942,38.883891127975936,B,15552.5,16114.8,17731.557769142742,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -7}",oneil,Pocket Pivot,17160.0,16577.0,3.3974358974358974,pullback,눌림목,15552.5,15510.0,0.27326796334994374,breakout,Squeeze돌파,17731.557769142742,16857.057769142742,4.931884786354442,5,2602848260.0,-559254860.0,2026-02-02 19:20,2,,0
3,101160,월덱스,KOSDAQ,407821527100,반도체용링및전극,24700.0,22724.0,23.0,25.0,13.0,3,7.0,71.0,8.0,9.243697478991596,25.33889371121261,B,23077.5,22369.0,25319.027071736546,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,25319.027071736546,23695.277071736546,6.413161119498864,oneil,오닐,24700.0,23617.5,4.3825910931174095,pullback,눌림목,23077.5,21778.5,5.628859278518037,0,2960169450.0,-5446631500.0,2026-02-02 19:20,2,,0
4,035600,KG이니시스,KOSDAQ,314120547600,전자지불서비스,11400.0,10488.0,22.0,10.0,17.0,15,7.0,71.0,8.0,61.34453781512605,63.550404489521895,-,10332.5,10507.8,11360.81167444619,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 5, ""risk_deduction"": -3}",breakout,Squeeze돌파,11400.0,10929.75,4.125,pullback,눌림목,10332.5,10110.0,2.153399467699008,oneil,오닐,11400.0,11086.5,2.75,5,5353930850.0,1175871860.0,2026-02-02 19:20,2,,0
5,092070,디엔에프,KOSDAQ,205979072400,반도체배선박막재료(알루미늄전구체),17800.0,16376.0,24.0,15.0,16.0,8,7.0,70.0,8.0,100.0,30.139830550859546,B,17135.0,15348.4,18656.064392781962,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -3}",pullback,눌림목,17135.0,15831.8,7.605485847680191,oneil,오닐,17800.0,17600.0,1.1235955056179776,breakout,Squeeze돌파,18656.064392781962,17027.064392781962,8.731745161805192,4,948101350.0,-280738040.0,2026-02-02 19:20,2,,0
6,267980,매일유업,KOSDAQ,271292785200,"유제품(우유, 분유, 발효유, 치즈, 음료 등)",35400.0,33650.0,14.0,10.0,20.0,15,10.0,69.0,4.943502824858757,48.739495798319325,39.522188845458565,-,34470.0,35183.0,36860.42171426558,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_adx"": 4, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_safe"": 10}",pullback,눌림목,34470.0,32746.5,5.0,oneil,오닐,35400.0,34995.0,1.1440677966101696,breakout,Squeeze돌파,36860.42171426558,35847.92171426558,2.7468486601935593,5,303774750.0,531689950.0,2026-02-02 19:20,2,,0
7,083310,엘오티베큠,KOSDAQ,237407739890,반도체제조용진공펌프,13330.0,11710.0,23.0,20.0,13.0,11,0.0,67.0,12.153038259564891,5.042016806722689,25.82445567774872,R,12895.0,12524.8,13828.52213768799,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 3, ""risk_deduction"": -10}",oneil,오닐,13330.0,12937.0,2.948237059264816,pullback,눌림목,12895.0,12162.4,5.681271810779374,breakout,Squeeze돌파,13828.52213768799,12912.77213768799,6.622182695171977,5,3221474900.0,-1007660620.0,2026-02-02 19:20,2,,0
8,004700,조광피혁,KOSPI,484722160200,"가죽(피혁원단,제화용원단,카시트용원단),가방,신발 제조,도매",72900.0,66600.0,23.0,20.0,16.0,3,5.0,67.0,8.641975308641975,0.8403361344537815,29.894737783224794,R,68930.0,68812.0,73026.77559767482,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -5}",breakout,Squeeze돌파,73026.77559767482,67521.77559767482,7.538330913483849,oneil,오닐,72900.0,71290.0,2.2085048010973938,pullback,눌림목,68930.0,65483.5,5.0,0,120096400.0,-78818500.0,2026-02-02 19:20,2,,0
9,114840,아이패밀리에스씨,KOSDAQ,278677191000,"색조화장품 브랜드 `롬앤(Rom&nd)', IT기반 웨딩서비스 브랜드 `아이웨딩`",16090.0,14650.0,17.0,23.0,16.0,5,5.0,66.0,8.949658172778124,0.0,30.20543873442515,C,15161.0,14775.4,16570.734853415324,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_c"": 3, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -5}",oneil,Pocket Pivot,16090.0,15416.25,4.187383467992542,breakout,Squeeze돌파,16570.734853415324,15560.109853415324,6.098854449968489,pullback,눌림목,15161.0,14650.0,3.370490073214168,1,621584990.0,-1526104030.0,2026-02-02 19:20,2,,0
10,035510,신세계 I&C,KOSPI,248021166000,"IT시스템 개발, 운영 및 유지보수, IT 컨설팅, IT장비솔루션 총판, 아웃소싱, IDC, IT기기 및 휴대폰 유통, 전자상품권",17740.0,16230.0,24.0,20.0,10.0,7,5.0,66.0,8.511837655016912,6.722689075630252,38.76465139468896,R,16881.5,16820.0,18192.627299457017,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""risk_deduction"": -5}",breakout,Squeeze돌파,18192.627299457017,17216.127299457017,5.367558978296361,oneil,오닐,17740.0,17703.0,0.20856820744081175,pullback,눌림목,16881.5,16100.3,4.627550869294794,0,1056124420.0,919432980.0,2026-02-02 19:20,2,,0
