rank,code,name,market,close,ma20,ma60,trend_score,vol_score,total_score,momentum_score,news_score,news_summary,scan_date,chunk
1,98460,고영,KOSDAQ,28400.0,25578.0,22484.0,50,30,80,0,0,,2026-01-17 15:25,1
69,5380,현대차,KOSPI,413000.0,329275.0,291867.0,50,30,80,0,0,,2026-01-17 15:22,1
67,34020,두산에너빌리티,KOSPI,95300.0,81500.0,80225.0,50,30,80,0,0,,2026-01-17 15:22,1
66,270,기아,KOSPI,151100.0,127645.0,120420.0,50,30,80,0,0,,2026-01-17 15:22,1
65,455900,엔젤로보틱스,KOSDAQ,34600.0,31110.0,30388.0,50,30,80,0,0,,2026-01-17 15:29,1
64,388720,유일로보틱스,KOSDAQ,89100.0,84130.0,83472.0,50,30,80,0,0,,2026-01-17 15:26,1
63,83650,비에이치아이,KOSDAQ,59400.0,55060.0,50323.0,50,30,80,0,0,,2026-01-17 15:25,1
62,79160,CJ CGV,KOSPI,6020.0,5962.0,5596.0,50,30,80,0,0,,2026-01-17 15:26,1
61,47920,HLB제약,KOSDAQ,17260.0,16198.0,15953.0,50,30,80,0,0,,2026-01-17 15:28,1
60,42660,한화오션,KOSPI,147000.0,124515.0,123068.0,50,30,80,0,0,,2026-01-17 15:22,1
59,267270,HD현대건설기계,KOSPI,119700.0,105860.0,100655.0,50,30,80,0,0,,2026-01-17 15:25,1
58,103140,풍산,KOSPI,123400.0,112945.0,107553.0,50,30,80,0,0,,2026-01-17 15:24,1
57,15760,한국전력,KOSPI,54700.0,50050.0,48638.0,50,30,80,0,0,,2026-01-17 15:22,1
56,23530,롯데쇼핑,KOSPI,74900.0,72270.0,71218.0,50,30,80,0,0,,2026-01-17 15:25,1
55,10130,고려아연,KOSPI,1585000.0,1312650.0,1240867.0,50,30,80,0,0,,2026-01-17 15:22,1
54,267260,HD현대일렉트릭,KOSPI,906000.0,832900.0,826717.0,50,30,80,0,0,,2026-01-17 15:22,1
53,10060,OCI홀딩스,KOSPI,113700.0,111110.0,109413.0,50,30,80,0,0,,2026-01-17 15:25,1
52,5810,풍산홀딩스,KOSPI,39000.0,38125.0,37996.0,50,30,80,0,0,,2026-01-17 15:29,1
51,17960,한국카본,KOSPI,34950.0,33058.0,31848.0,50,30,80,0,0,,2026-01-17 15:25,1
50,5490,POSCO홀딩스,KOSPI,331500.0,313775.0,312858.0,50,30,80,0,0,,2026-01-17 15:22,1
49,12330,현대모비스,KOSPI,431000.0,386775.0,338817.0,50,30,80,0,0,,2026-01-17 15:22,1
68,990,DB하이텍,KOSPI,85200.0,72215.0,66113.0,50,30,80,0,0,,2026-01-17 15:24,1
70,207940,삼성바이오로직스,KOSPI,1947000.0,1785100.0,1754738.0,50,30,80,0,0,,2026-01-17 15:22,1
47,3550,LG,KOSPI,87500.0,82265.0,82043.0,50,30,80,0,0,,2026-01-17 15:23,1
71,6280,녹십자,KOSPI,160300.0,160635.0,144297.0,50,30,80,0,0,,2026-01-17 15:25,1
2,268280,미원에스씨,KOSPI,134700.0,140070.0,138678.0,50,30,80,0,0,,2026-01-17 15:28,1
90,272210,한화시스템,KOSPI,90900.0,65035.0,56125.0,50,30,80,0,0,,2026-01-17 15:22,1
88,64350,현대로템,KOSPI,215000.0,199290.0,199265.0,50,30,80,0,0,,2026-01-17 15:22,1
87,33780,KT&G,KOSPI,142300.0,143510.0,141488.0,50,30,80,0,0,,2026-01-17 15:22,1
86,3690,코리안리,KOSPI,10960.0,11428.0,11319.0,50,30,80,0,0,,2026-01-17 15:25,1
85,810,삼성화재,KOSPI,486500.0,487125.0,484158.0,50,30,80,0,0,,2026-01-17 15:22,1
84,69960,현대백화점,KOSPI,96100.0,90900.0,90103.0,50,30,80,0,0,,2026-01-17 15:25,1
83,64960,SNT모티브,KOSPI,36200.0,34628.0,33467.0,50,30,80,0,0,,2026-01-17 15:27,1
82,86280,현대글로비스,KOSPI,257000.0,205425.0,181535.0,50,30,80,0,0,,2026-01-17 15:22,1
81,60280,큐렉소,KOSDAQ,13780.0,13080.0,12106.0,50,30,80,0,0,,2026-01-17 15:28,1
80,420770,기가비스,KOSDAQ,46000.0,33875.0,33721.0,50,30,80,0,0,,2026-01-17 15:28,1
79,44490,태웅,KOSDAQ,29200.0,27238.0,26959.0,50,30,80,0,0,,2026-01-17 15:28,1
78,73240,금호타이어,KOSPI,6100.0,5870.0,5563.0,50,30,80,0,0,,2026-01-17 15:25,1
77,56080,유진로봇,KOSDAQ,25550.0,15759.0,13766.0,50,30,80,0,0,,2026-01-17 15:27,1
76,33100,제룡전기,KOSDAQ,38450.0,37092.0,36654.0,50,30,80,0,0,,2026-01-17 15:28,1
75,34730,SK,KOSPI,299000.0,268800.0,260608.0,50,30,80,0,0,,2026-01-17 15:22,1
74,11200,HMM,KOSPI,20000.0,20333.0,20126.0,50,30,80,0,0,,2026-01-17 15:22,1
73,52690,한전기술,KOSPI,126700.0,97615.0,97092.0,50,30,80,0,0,,2026-01-17 15:23,1
72,166090,하나머티리얼즈,KOSDAQ GLOBAL,54800.0,46130.0,43388.0,50,30,80,0,0,,2026-01-17 15:26,1
48,66570,LG전자,KOSPI,98400.0,92685.0,90895.0,50,30,80,0,0,,2026-01-17 15:23,1
89,38500,삼표시멘트,KOSDAQ,5290.0,4832.0,3781.0,50,30,80,0,0,,2026-01-17 15:28,1
46,375500,DL이앤씨,KOSPI,42900.0,41458.0,41267.0,50,30,80,0,0,,2026-01-17 15:25,1
23,5940,NH투자증권,KOSPI,22650.0,21295.0,21014.0,50,30,80,0,0,,2026-01-17 15:23,1
21,18260,삼성에스디에스,KOSPI,180000.0,174475.0,172988.0,50,30,80,0,0,,2026-01-17 15:23,1
20,456040,OCI,KOSPI,72800.0,61405.0,60595.0,50,30,80,0,0,,2026-01-17 15:28,1
19,348340,뉴로메카,KOSDAQ,71900.0,37398.0,32198.0,50,30,80,0,0,,2026-01-17 15:27,1
18,5850,에스엘,KOSPI,50000.0,44035.0,40158.0,50,30,80,0,0,,2026-01-17 15:24,1
17,1450,현대해상,KOSPI,26800.0,29350.0,28958.0,50,30,80,0,0,,2026-01-17 15:24,1
16,65350,신성델타테크,KOSDAQ,57900.0,57450.0,57362.0,50,30,80,0,0,,2026-01-17 15:25,1
15,720,현대건설,KOSPI,104300.0,77820.0,70210.0,50,30,80,0,0,,2026-01-17 15:23,1
14,370,한화손해보험,KOSPI,5720.0,5456.0,5429.0,50,30,80,0,0,,2026-01-17 15:28,1
13,10120,LS ELECTRIC,KOSPI,533000.0,485825.0,466950.0,50,30,80,0,0,,2026-01-17 15:23,1
12,85620,미래에셋생명,KOSPI,8920.0,9196.0,9110.0,50,30,80,0,0,,2026-01-17 15:25,1
11,178320,서진시스템,KOSDAQ,27700.0,26132.0,25807.0,50,30,80,0,0,,2026-01-17 15:25,1
10,10950,S-Oil,KOSPI,89700.0,84225.0,81388.0,50,30,80,0,0,,2026-01-17 15:23,1
9,90710,휴림로봇,KOSDAQ,12810.0,7866.0,6491.0,50,30,80,0,0,,2026-01-17 15:25,1
8,11780,금호석유화학,KOSPI,140100.0,126100.0,120502.0,50,30,80,0,0,,2026-01-17 15:24,1
7,880,한화,KOSPI,124600.0,91650.0,88935.0,50,30,80,0,0,,2026-01-17 15:23,1
6,3490,대한항공,KOSPI,24300.0,22572.0,22212.0,50,30,80,0,0,,2026-01-17 15:23,1
5,204320,HL만도,KOSPI,64200.0,57565.0,47849.0,50,30,80,0,0,,2026-01-17 15:24,1
45,5440,현대지에프홀딩스,KOSPI,8620.0,8308.0,8234.0,50,30,80,0,0,,2026-01-17 15:26,1
3,7340,DN오토모티브,KOSPI,23600.0,24648.0,24559.0,50,30,80,0,0,,2026-01-17 15:26,1
22,74600,원익QnC,KOSDAQ GLOBAL,24350.0,21893.0,21735.0,50,30,80,0,0,,2026-01-17 15:28,1
4,1120,LX인터내셔널,KOSPI,35650.0,32928.0,31755.0,50,30,80,0,0,,2026-01-17 15:26,1
