rank,code,name,market,mktcap,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,foreign_consec_buy,foreign_net_5d,inst_net_5d,keywords,news_count,scan_date,chunk
1,454910,두산로보틱스,KOSPI,5859726192000,90400.0,24.0,25.0,8.0,0.0,5.0,62.0,79400.0,12.168141592920351,39.49579831932773,32.28631449594295,R,82555.0,79668.0,0,True,25.0,8.0,8.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
2,3550,LG,KOSPI,13494388687500,87500.0,20.0,20.0,8.0,0.0,5.0,53.0,78600.0,10.17142857142857,0.8403361344537815,18.853409473637942,R,82265.0,82092.0,0,True,20.0,8.0,8.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
3,32830,삼성생명,KOSPI,34120000000000,170600.0,24.0,13.0,8.0,0.0,7.0,52.0,155200.0,9.02696365767878,26.050420168067227,34.17738399716758,A,160170.0,156486.0,0,False,13.0,8.0,8.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
1,94820,일진파워,KOSDAQ,209594055100,13900.0,24.0,15.0,8.0,0.0,5.0,52.0,11920.0,14.244604316546765,96.63865546218489,31.06568718796512,R,12885.0,11659.8,1,True,15.0,8.0,8.0,0,0,,0,0,0,,0,2026-01-18 04:33,2
4,3490,대한항공,KOSPI,8947762062300,24300.0,18.0,20.0,8.0,0.0,5.0,51.0,21600.0,11.11111111111111,15.966386554621849,13.997896134944694,R,22572.5,22190.0,0,True,20.0,8.0,8.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
5,39490,키움증권,KOSPI,8841885030000,330000.0,25.0,20.0,0.0,0.0,5.0,50.0,293500.0,11.06060606060606,4.201680672268908,46.53859739825207,R,304650.0,291110.0,0,True,20.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
6,34730,SK,KOSPI,21678308197000,299000.0,25.0,20.0,0.0,0.0,5.0,50.0,261500.0,12.54180602006689,2.5210084033613445,47.1261500457264,R,268800.0,263810.0,0,True,20.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
7,71050,한국금융지주,KOSPI,10181138738400,182700.0,24.0,20.0,0.0,0.0,5.0,49.0,163200.0,10.673234811165845,3.361344537815126,37.40760115567421,R,166770.0,164728.0,0,True,20.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
9,161580,필옵틱스,KOSDAQ,1041422241500,44500.0,23.0,10.0,8.0,0.0,7.0,48.0,40850.0,8.202247191011235,26.89075630252101,28.096866914409123,C,44127.5,43987.0,1,False,10.0,8.0,8.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
8,17670,SK텔레콤,KOSPI,11877889930900,55300.0,18.0,20.0,0.0,0.0,10.0,48.0,52600.0,4.882459312839059,11.764705882352942,25.550282468353817,R,53505.0,53598.0,0,True,20.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
11,16360,삼성증권,KOSPI,7465480000000,83600.0,20.0,20.0,0.0,0.0,7.0,47.0,75300.0,9.92822966507177,4.201680672268908,26.928367327043784,R,78565.0,78894.0,0,True,20.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
12,5940,NH투자증권,KOSPI,8071199957850,22650.0,20.0,20.0,0.0,0.0,7.0,47.0,20750.0,8.388520971302428,4.201680672268908,19.95574557874765,R,21295.0,21131.6,0,True,20.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
10,80220,제주반도체,KOSDAQ,1062561398050,30850.0,25.0,15.0,0.0,0.0,7.0,47.0,28250.0,8.427876823338735,100.0,73.7253102624406,R,26131.0,21964.6,0,True,15.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
13,124500,아이티센글로벌,KOSDAQ,747185769400,32200.0,25.0,0.0,12.0,0.0,9.0,46.0,29850.0,7.298136645962733,72.26890756302521,43.18214868175282,-,31127.5,25380.0,7,False,0.0,12.0,12.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
15,402340,SK스퀘어,KOSPI,58976896847500,446500.0,25.0,15.0,0.0,0.0,5.0,45.0,398500.0,10.750279955207166,52.94117647058823,69.84510597766128,R,377975.0,329750.0,0,True,15.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
16,476060,온코닉테라퓨틱스,KOSDAQ,892021813300,20050.0,24.0,0.0,12.0,0.0,9.0,45.0,18600.0,7.231920199501247,39.49579831932773,32.13291805952033,-,20041.0,17997.8,8,False,0.0,12.0,12.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
17,403870,HPSP,KOSDAQ GLOBAL,2989077806000,35750.0,25.0,5.0,8.0,0.0,7.0,45.0,32700.0,8.531468531468532,26.050420168067227,58.52018132166271,-,32770.0,31364.0,0,False,5.0,8.0,8.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
14,5930,삼성전자,KOSPI,881434086585800,148900.0,25.0,15.0,0.0,0.0,5.0,45.0,132700.0,10.879785090664877,79.83193277310924,73.71543431535046,R,127255.0,112300.0,0,True,15.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
19,64400,LG씨엔에스,KOSPI,6588244464000,68000.0,22.0,0.0,18.0,0.0,5.0,45.0,59400.0,12.647058823529411,33.61344537815126,33.004265145948565,-,63030.0,61114.0,4,False,0.0,18.0,18.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
20,42700,한미반도체,KOSPI,17013227700000,178500.0,25.0,15.0,0.0,0.0,5.0,45.0,153200.0,14.173669467787114,66.38655462184875,60.731054367415176,R,152140.0,135094.0,2,True,15.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
2,54450,텔레칩스,KOSDAQ,225649071700,14900.0,23.0,0.0,12.0,0.0,10.0,45.0,14500.0,2.684563758389262,100.0,54.51445716302146,-,14790.0,13376.0,6,False,0.0,12.0,12.0,0,0,,0,0,0,,0,2026-01-18 04:33,2
18,660,SK하이닉스,KOSPI,550369787940000,756000.0,25.0,15.0,0.0,0.0,5.0,45.0,671000.0,11.243386243386242,41.1764705882353,73.2467713928208,R,668350.0,605680.0,0,True,15.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
23,207940,삼성바이오로직스,KOSPI,90128481597000,1947000.0,24.0,15.0,0.0,0.0,5.0,44.0,1671000.0,14.175654853620957,59.66386554621849,39.23330102896794,R,1785100.0,1750760.0,0,True,15.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
