rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,base_stop,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,17940,E1,KOSPI,589274000000,"LPG(프로판,부탄가스),가스기기판매",85900.0,83335.0,21.0,23.0,20.0,11,10.0,85.0,2.9860302677532014,15.126050420168069,32.93217066997833,C,81900.0,83778.0,90079.65780933687,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_c"": 3, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_safe"": 10}",77500.0,oneil,Pocket Pivot,85900.0,83335.0,2.9860302677532014,breakout,돌파,90079.65780933687,86232.15780933687,4.271219600038491,pullback,눌림목,81900.0,78822.0,3.7582417582417578,5,2511729300.0,-2246387300.0,2026-01-23 17:00,1,,0
2,214370,케어젠,KOSDAQ,4630233000000,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",86200.0,81240.0,24.0,25.0,18.0,7,9.0,83.0,5.754060324825986,7.563025210084033,32.32320791115721,B,71880.0,71372.0,82428.85110864599,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -1}",45800.0,oneil,Pocket Pivot,86200.0,81240.0,5.754060324825986,breakout,돌파,87924.0,80484.0,8.461853418861743,pullback,눌림목,71880.0,65928.0,8.280467445742905,0,496006900.0,2991918800.0,2026-01-23 17:00,1,,0
3,28300,HLB,KOSDAQ,7624550640300,"의료기기, 의약외품 등",57300.0,54660.0,25.0,25.0,13.0,9,10.0,82.0,4.607329842931937,13.445378151260504,46.056956418754446,B,51952.5,49372.0,55203.28498129779,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_safe"": 10}",42300.0,oneil,Pocket Pivot,57300.0,54660.0,4.607329842931937,breakout,돌파,58446.0,54486.0,6.775485063135202,pullback,눌림목,51952.5,48784.5,6.09787786920745,1,6849721100.0,4126794300.0,2026-01-23 17:00,1,,0
1,35510,신세계 I&C,KOSPI,251656200000,"IT시스템 개발, 운영 및 유지보수, IT 컨설팅, IT장비솔루션 총판, 아웃소싱, IDC, IT기기 및 휴대폰 유통, 전자상품권",18000.0,17396.75,21.0,25.0,20.0,5,10.0,81.0,3.351388888888889,3.361344537815126,31.67795297512585,B,16416.5,16663.2,17867.722384479443,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_safe"": 10}",13850.0,oneil,Pocket Pivot,18000.0,17396.75,3.351388888888889,breakout,돌파,18360.0,17455.125,4.928513071895424,pullback,눌림목,16416.5,15692.6,4.409587914598116,1,2278488070.0,-343483800.0,2026-01-23 16:59,2,,0
4,2380,KCC,KOSPI,4216630489500,"건축용단열재,내외장재,스레트,밤라이트,암면,석고보드,판유리 제조",474500.0,459877.5,24.0,25.0,16.0,5,10.0,80.0,4.98202442199219,8.403361344537815,37.28641952001687,B,422400.0,421390.0,453570.9266250879,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",346000.0,breakout,돌파,483990.0,459877.5,4.98202442199219,oneil,오닐,474500.0,458425.0,3.3877766069546893,pullback,눌림목,422400.0,403110.0,4.566761363636364,1,10387699500.0,-3404185000.0,2026-01-23 17:00,1,,0
5,247540,에코프로비엠,KOSDAQ GLOBAL,17046774259200,양극활물질,174300.0,166342.84242594382,21.0,25.0,16.0,9,8.0,79.0,6.358442461216461,0.8403361344537815,32.259705888489755,B,153110.0,155832.0,177637.84242594382,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -2}",140400.0,breakout,돌파,177637.84242594382,166342.84242594382,6.358442461216461,oneil,오닐,174300.0,166770.0,4.320137693631669,pullback,눌림목,153110.0,144074.0,5.901639344262295,1,55542571500.0,34818318200.0,2026-01-23 17:00,1,,0
6,3550,LG,KOSPI,14388873880500,지주회사,93300.0,90640.0,24.0,14.0,16.0,15,10.0,79.0,2.8510182207931405,14.285714285714286,33.66426126266483,A,84085.0,82706.0,88594.20682503433,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",78600.0,oneil,Pocket Pivot,93300.0,90640.0,2.8510182207931405,breakout,돌파,95166.0,91176.0,4.192673854107559,pullback,눌림목,84085.0,80893.0,3.796158648986145,5,22171629500.0,5568883500.0,2026-01-23 17:00,1,,0
7,95660,네오위즈,KOSDAQ,581391305600,"피망,스페셜포스",26600.0,24600.0,22.0,24.0,13.0,9,10.0,78.0,2.9394357861511144,3.361344537815126,24.60771770271831,A,25345.0,25269.0,26507.124450182862,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",24600.0,pullback,눌림목,25345.0,24600.0,2.9394357861511144,oneil,Pocket Pivot,26600.0,25655.0,3.552631578947368,breakout,돌파,27132.0,25714.5,5.224458204334366,1,511552050.0,50179650.0,2026-01-23 17:00,1,,0
9,93320,케이아이엔엑스,KOSDAQ,638792000000,인터넷연동서비스 등,130900.0,125670.0,22.0,15.0,20.0,11,10.0,78.0,3.995416348357525,87.39495798319328,23.05396877911341,B,118845.0,110826.0,136017.6465074917,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_safe"": 10}",95000.0,oneil,Pocket Pivot,130900.0,125670.0,3.995416348357525,breakout,돌파,136017.6465074917,128172.6465074917,5.7676339809099,pullback,눌림목,118845.0,112569.0,5.280827969203584,5,1702737700.0,-444108900.0,2026-01-23 17:00,1,,0
8,4020,현대제철,KOSPI,4663930185750,"H형강,제철,제강,철근,압연,스테인레스,주강,시트파일 제조,수출입,중기부품(탱크바퀴)제조,판매",34950.0,33523.75,22.0,24.0,13.0,9,10.0,78.0,4.0808297567954215,1.680672268907563,21.25968756236806,A,31087.5,30917.0,33490.507192258134,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_safe"": 10}",30750.0,oneil,Inside Day,34950.0,33523.75,4.0808297567954215,breakout,돌파,35649.0,33509.625,6.001220230581502,pullback,눌림목,31087.5,30750.0,1.0856453558504222,1,3392739200.0,16982207900.0,2026-01-23 17:00,1,,0
2,4700,조광피혁,KOSPI,490041470600,"가죽(피혁원단,제화용원단,카시트용원단),가방,신발 제조,도매",73700.0,72700.0,20.0,24.0,18.0,6,10.0,78.0,1.35685210312076,0.8403361344537815,27.05078010082965,A,67300.0,68644.0,72975.82158698181,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",72700.0,oneil,Pocket Pivot,73700.0,70460.0,4.396200814111262,breakout,돌파,75174.0,70314.0,6.465001197222444,pullback,눌림목,67300.0,63935.0,5.0,1,-28274300.0,52592300.0,2026-01-23 16:59,2,,0
10,251970,펌텍코리아,KOSDAQ,740280000000,화장품 용기,59700.0,57010.0,20.0,20.0,15.0,9,10.0,74.0,4.505862646566164,13.445378151260504,22.082575923650392,R,54290.0,54056.0,57547.932878888045,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 5, ""risk_safe"": 10}",52400.0,oneil,Inside Day,59700.0,57010.0,4.505862646566164,breakout,돌파,60894.0,56859.0,6.626268597891418,pullback,눌림목,54290.0,52400.0,3.481304107570455,1,2850355300.0,812252000.0,2026-01-23 17:00,1,,0
3,214180,헥토이노베이션,KOSDAQ,218938233950,휴대폰부가서비스,16850.0,16253.0,21.0,23.0,16.0,4,10.0,74.0,3.543026706231453,17.647058823529413,36.00989698527128,C,16040.5,16152.0,17449.385536837322,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_c"": 3, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",15110.0,oneil,Pocket Pivot,16850.0,16253.0,3.543026706231453,breakout,돌파,17449.385536837322,16553.885536837322,5.131985869127104,pullback,눌림목,16040.5,15324.1,4.466194944047876,0,-186959680.0,41790360.0,2026-01-23 16:59,2,,0
4,340570,티앤엘,KOSDAQ,396646400000,"창상치료재, 정형외과용 고정재",48800.0,47420.0,15.0,23.0,20.0,6,10.0,74.0,2.8278688524590163,18.48739495798319,46.050120089516376,C,46215.0,46576.0,49854.389209936206,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_c"": 3, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_safe"": 10}",43100.0,oneil,Pocket Pivot,48800.0,47420.0,2.8278688524590163,breakout,돌파,49854.389209936206,47784.389209936206,4.152091787311356,pullback,눌림목,46215.0,44559.0,3.583252190847128,1,-187415450.0,43957500.0,2026-01-23 16:59,2,,0
11,35420,NAVER,KOSPI,41722801708000,포털 서비스 및 온라인 광고,266000.0,256025.0,24.0,25.0,13.0,2,10.0,74.0,3.75,15.966386554621849,36.08271272618087,B,248550.0,248020.0,273206.9849323786,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_safe"": 10}",225500.0,oneil,Pocket Pivot,266000.0,256025.0,3.75,breakout,돌파,273206.9849323786,258244.48493237855,5.476616933386006,pullback,눌림목,248550.0,236580.0,4.815932407966204,1,-26712346500.0,-185724261500.0,2026-01-23 17:00,1,,0
12,68760,셀트리온제약,KOSDAQ,2773801920000,고덱스 캡슐 외,63500.0,59518.81,22.0,15.0,18.0,9,10.0,74.0,4.00246127642828,20.16806722689076,20.31380163074115,B,62000.35,61410.1,64968.03216637557,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",54227.0,pullback,눌림목,62000.35,59518.81,4.00246127642828,breakout,돌파,64968.03216637557,61866.107166375565,4.7745404879377205,oneil,오닐,63500.0,61930.0,2.47244094488189,1,1770625800.0,1176295400.0,2026-01-23 17:00,1,,0
13,39490,키움증권,KOSPI,9283335507000,"유가증권의 매매, 위탁, 인수, 주선",343500.0,328601.25,25.0,24.0,11.0,5,8.0,73.0,6.213074749550476,15.966386554621849,57.6207353153719,A,313175.0,294470.0,330455.8825528738,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -2}",306500.0,breakout,돌파,350370.0,328601.25,6.213074749550476,pullback,눌림목,313175.0,306500.0,2.1313961842420373,oneil,오닐,343500.0,328987.5,4.224890829694323,1,17480560500.0,-11049853000.0,2026-01-23 17:00,1,,0
