rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,126340,비나텍,KOSDAQ,661250125600,초고용량 커패시터(슈퍼커패시터),98200.0,90344.0,25.0,15.0,18.0,15,7.0,80.0,8.0,74.78991596638656,55.69204878982191,B,89085.0,76628.82,102256.361830656,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Oops Reversal,98200.0,91720.0,6.598778004073321,pullback,눌림목,89085.0,80514.0,9.621148341471628,breakout,Squeeze돌파,102256.361830656,91542.611830656,10.477343226568877,5,9025855500.0,7457621100.0,2026-02-02 19:22,1,,0
2,348210,넥스틴,KOSDAQ GLOBAL,890545425000,반도체 전공정용 패턴결함 검사장비(AEGIS 등),85000.0,78200.0,24.0,15.0,13.0,15,7.0,74.0,8.0,65.54621848739495,31.3959437593408,B,77205.0,71712.0,85962.3418041208,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,85962.3418041208,78499.8418041208,8.681126925327979,oneil,오닐,85000.0,82950.0,2.411764705882353,pullback,눌림목,77205.0,71235.0,7.732659801826307,5,10755913300.0,24248961400.0,2026-02-02 19:22,1,,0
1,92730,네오팜,KOSDAQ,323765377800,생체기능성(아토피)보습제,20200.0,18584.0,21.0,20.0,18.0,8,7.0,74.0,8.0,0.0,35.87514774708431,R,18106.0,18785.8,20457.30787403007,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,20200.0,19476.0,3.584158415841584,breakout,Squeeze돌파,20457.30787403007,19371.30787403007,5.308616396093076,pullback,눌림목,18106.0,17200.7,4.9999999999999964,3,4803719220.0,-1870744020.0,2026-02-02 19:20,2,,0
2,99190,아이센스,KOSDAQ,473752010160,"혈당측정스트립, 혈당측정기기 등",17160.0,15510.0,19.0,25.0,16.0,11,3.0,74.0,9.615384615384617,11.764705882352942,38.883891127975936,B,15552.5,16114.8,17731.557769142742,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -7}",oneil,Pocket Pivot,17160.0,16577.0,3.3974358974358974,pullback,눌림목,15552.5,15510.0,0.2732679633499437,breakout,Squeeze돌파,17731.557769142742,16857.057769142742,4.931884786354442,5,2602848260.0,-559254860.0,2026-02-02 19:20,2,,0
3,24110,기업은행,KOSPI,17383883944200,은행업,21800.0,20250.0,25.0,20.0,5.0,15,7.0,72.0,7.110091743119266,19.327731092436974,41.84852539952245,R,20970.0,20867.0,21731.36372023245,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_today"": 5, ""risk_deduction"": -3}",breakout,Squeeze돌파,21800.0,21143.75,3.010321100917431,oneil,오닐,21800.0,21375.0,1.94954128440367,pullback,눌림목,20970.0,20445.0,2.503576537911302,5,41767567350.0,1349167850.0,2026-02-02 19:22,1,,0
4,35600,KG이니시스,KOSDAQ,314120547600,전자지불서비스,11400.0,10488.0,22.0,10.0,17.0,15,7.0,71.0,8.0,61.34453781512605,63.550404489521895,-,10332.5,10507.8,11360.81167444619,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 5, ""risk_deduction"": -3}",breakout,Squeeze돌파,11400.0,10929.75,4.125,pullback,눌림목,10332.5,10110.0,2.153399467699008,oneil,오닐,11400.0,11086.5,2.75,5,5353930850.0,1175871860.0,2026-02-02 19:20,2,,0
5,12750,에스원,KOSPI,3055133911200,"부가통신 서비스(경비),안전관리용역,CCTV카메라",80400.0,73800.0,24.0,24.0,13.0,5,5.0,71.0,8.208955223880597,17.647058823529413,32.42969583079795,A,76305.0,75728.0,79802.08762166693,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_deduction"": -5}",breakout,Squeeze돌파,80400.0,76185.0,5.242537313432836,pullback,눌림목,76305.0,73800.0,3.2828779241203065,oneil,오닐,80400.0,77590.0,3.4950248756218905,1,2562633900.0,-198419500.0,2026-02-02 19:22,1,,0
4,397030,에이프릴바이오,KOSDAQ,1423900186000,항체의약품 및 재조합 단백질 의약품,61000.0,56120.0,20.0,15.0,20.0,9,7.0,71.0,8.0,71.42857142857143,13.690437267196575,B,53442.5,47778.0,61079.6677709931,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,61079.6677709931,55240.9177709931,9.559236670853076,oneil,오닐,61000.0,57107.5,6.381147540983606,pullback,눌림목,53442.5,48771.5,8.740234831828602,1,13761853600.0,15121038600.0,2026-02-02 19:22,1,,0
3,101160,월덱스,KOSDAQ,407821527100,반도체용링및전극,24700.0,22724.0,23.0,25.0,13.0,3,7.0,71.0,8.0,9.243697478991596,25.33889371121261,B,23077.5,22369.0,25319.027071736546,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",breakout,Squeeze돌파,25319.027071736546,23695.277071736546,6.413161119498864,oneil,오닐,24700.0,23617.5,4.3825910931174095,pullback,눌림목,23077.5,21778.5,5.628859278518037,0,2960169450.0,-5446631500.0,2026-02-02 19:20,2,,0
6,368770,파이버프로,KOSDAQ,591376050000,광섬유 관성센서 및 관성 측정장치,18000.0,16560.0,24.0,15.0,18.0,6,7.0,70.0,8.0,94.11764705882354,36.32960854782673,B,15515.0,11337.0,18640.62565385094,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",oneil,Pocket Pivot,18000.0,16972.0,5.711111111111111,pullback,눌림목,15515.0,13169.6,15.11698356429262,breakout,Squeeze돌파,18640.62565385094,15708.87565385094,15.727744628541124,1,-369408480.0,2343471530.0,2026-02-02 19:22,1,,0
